"","indic","l_guest"
"85",85,"Rebecca"
"86",86,"RED 芮德"
"87",87,"Regina"
"88",88,"Resonance留聲樂團"
"89",89,"Rick"
"90",90,"Rynne"
"91",91,"Sandy"
"92",92,"Shanon"
"93",93,"Shanon王思佳"
"94",94,"Sky"
"95",95,"Stacey"
"96",96,"Stanley"
"97",97,"Stone"
"98",98,"Terry"
"99",99,"Tiger"
"100",100,"Tony Chen"
"101",101,"TOP1男子漢"
"102",102,"TUD"
"103",103,"TUD綠茶"
"104",104,"Una"
"105",105,"Uyi"
"106",106,"Vicki"
"107",107,"Vicky"
"108",108,"Vienna"
"109",109,"Vivien"
"110",110,"Wacky Boys"
"111",111,"Wackyboys"
"112",112,"Wackyboys(酷炫"
"113",113,"Wendy"
"114",114,"Wendy老師"
"115",115,"Wez"
"116",116,"Winnie"
"117",117,"Ya Ting"
"118",118,"Yumi"
"119",119,"Zero Four Crew(阿傑"
"120",120,"一支"
"121",121,"丁國琳"
"122",122,"丁噹"
"123",123,"丁曉雯"
"124",124,"丁曉雯小鍾"
"125",125,"丁曉雯安歆澐"
"126",126,"丁曉雯邵大倫"
"127",127,"丁曉雯南拳媽媽"
"128",128,"丁曉雯黃文星"
"129",129,"二珂"
"130",130,"又又"
"131",131,"又仁"
"132",132,"三<U+5BF3>媽"
"133",133,"于美人"
"134",134,"大<U+5BF3>"
"135",135,"大女孩"
"136",136,"大飛"
"137",137,"大根"
"138",138,"大根小鍾"
"139",139,"大根唐從聖"
"140",140,"大黑白"
"141",141,"大愷"
"142",142,"子余媽"
"143",143,"子凌"
"144",144,"子庭"
"145",145,"子涵"
"146",146,"子萁"
"147",147,"小A辣"
"148",148,"小小瑜"
"149",149,"小冬瓜"
"150",150,"小布丁"
"151",151,"小各)"
"152",152,"小安"
"153",153,"小老師"
"154",154,"小孟"
"155",155,"小明"
"156",156,"小亮哥"
"157",157,"小茉莉"
"158",158,"小容"
"159",159,"小桃"
"160",160,"小馬"
"161",161,"小崧)"
"162",162,"小甜甜"
"163",163,"小喵"
"164",164,"小富"
"165",165,"小晶玲"
"166",166,"小曾"
"167",167,"小番薯"
"168",168,"小發財"
"169",169,"小煜"
"170",170,"小瑋哥"
"171",171,"小董"
"172",172,"小跩"
"173",173,"小慢"
"174",174,"小熊"
"175",175,"小熊趙正平"
"176",176,"小嫻"
"177",177,"小樂"
"178",178,"小穎"
"179",179,"小賴"
"180",180,"小龜"
"181",181,"小優"
"182",182,"小鍾"
"183",183,"小顆"
"184",184,"小鐘"
"185",185,"山姆"
"186",186,"山豬"
"187",187,"已婚男"
"188",188,"丹尼斯"
"189",189,"五熊"
"190",190,"允潔媽"
"191",191,"公關"
"192",192,"孔繁錦JR"
"193",193,"少少"
"194",194,"巴巴烙"
"195",195,"文心"
"196",196,"文姿雲"
"197",197,"文慧如"
"198",198,"方文山"
"199",199,"方世宇"
"200",200,"方語昕"
"201",201,"方麗庭"
"202",202,"月琴"
"203",203,"木亞"
"204",204,"牛奶兒"
"205",205,"王中平"
"206",206,"王仁甫"
"207",207,"王少偉"
"208",208,"王世平"
"209",209,"王可文"
"210",210,"王宏哲趙心<U+59F8>"
"211",211,"王治平"
"212",212,"王治平秦宇子"
"213",213,"王俐人"
"214",214,"王宣"
"215",215,"王思佳"
"216",216,"王思涵"
"217",217,"王庭勻"
"218",218,"王格心"
"219",219,"王彩樺"
"220",220,"王喬尹"
"221",221,"王策"
"222",222,"王瑞霞"
"223",223,"王筠婷"
"224",224,"王耀賢"
"225",225,"王馨怡"
"226",226,"世外桃源樂團(閻韋伶"
"227",227,"以綸"
"228",228,"包家禎"
"229",229,"包偉銘"
"230",230,"卡古"
"231",231,"卡古爸"
"232",232,"古正晴"
"233",233,"古拉"
"234",234,"古拉斯"
"235",235,"古墨"
"236",236,"可芸"
"237",237,"可樂"
"238",238,"可藍"
"239",239,"右邊那位)"
"240",240,"四葉草"
"241",241,"左左右右紫棋妹"
"242",242,"布達爾"
"243",243,"布蘭妮"
"244",244,"布蘭妮氏安娜"
"245",245,"未婚男"
"246",246,"正妹"
"247",247,"民雄"
"248",248,"玉兔"
"249",249,"玉婷"
"250",250,"田以熙"
"251",251,"田雅萍"
"252",252,"田舞陽"
"253",253,"白白"
"254",254,"白浩秦"
"255",255,"白朝蓉"
"256",256,"白雲"
"257",257,"亦帆"
"258",258,"吉姆"
"259",259,"如如"
"260",260,"宇宙"
"261",261,"宇宙人Mei"
"262",262,"安妮"
"263",263,"安妮黃鐙輝"
"264",264,"安雨晨"
"265",265,"安苡愛"
"266",266,"安喬"
"267",267,"安歆澐"
"268",268,"成語蕎"
"269",269,"成語蕎王宇婕"
"270",270,"成語蕎沈玉琳"
"271",271,"旭秋"
"272",272,"有激人"
"273",273,"朱家興"
"274",274,"朱海君"
"275",275,"朱珣貝"
"276",276,"江秉鴻"
"277",277,"江柃榛"
"278",278,"江柏樂"
"279",279,"江美琪"
"280",280,"牟牟"
"281",281,"米可白"
"282",282,"米亞"
"283",283,"米粉妹"
"284",284,"羽庭"
"285",285,"老葉)"
"286",286,"老闆"
"287",287,"艾瑞絲"
"288",288,"西方"
"289",289,"西門夜說"
"290",290,"何妤玟"
"291",291,"何美"
"292",292,"何啟聖"
"293",293,"何嘉文"
"294",294,"余祥銓"
"295",295,"余皓然"
"296",296,"佟凱玲"
"297",297,"助理主持"
"298",298,"助理主場"
"299",299,"劭中"
"300",300,"君君"
"301",301,"吳心緹"
"302",302,"吳申梅"
"303",303,"吳亦偉"
"304",304,"吳卓源"
"305",305,"吳念軒"
"306",306,"吳怡霈"
"307",307,"吳芸<U+653C><U+3E64><U+613C><U+3E31><U+383C><U+3E38><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E66>"
"308",308,"吳采臻"
"309",309,"吳俊宏"
"310",310,"吳俊諺"
"311",311,"吳俞葳"
"312",312,"吳姵穎"
"313",313,"吳威廷"
"314",314,"吳映潔"
"315",315,"吳敏髣"
"316",316,"吳鳳"
"317",317,"吳懷中"
"318",318,"呂文婉"
"319",319,"呂文婉丁國琳<U+FEFF>"
"320",320,"呂文婉卡古"
"321",321,"呂薔"
"322",322,"妏雪"
"323",323,"妖嬌"
"324",324,"宋費爾"
"325",325,"宋逸民"
"326",326,"宋達民"
"327",327,"宋讚養"
"328",328,"宏都拉斯"
"329",329,"希德"
"330",330,"志豪)"
"331",331,"李子森"
"332",332,"李友廷"
"333",333,"李少迪"
"334",334,"李先宇"
"335",335,"李玖哲"
"336",336,"李亞萍"
"337",337,"李怡貞"
"338",338,"李昂"
"339",339,"李俊翰"
"340",340,"李建軒"
"341",341,"李洛洋"
"342",342,"李眉君"
"343",343,"李唐孟"
"344",344,"李健竹"
"345",345,"李崗霖"
"346",346,"李敏榮"
"347",347,"李愛綺"
"348",348,"李運慶"
"349",349,"李漢典"
"350",350,"李維維"
"351",351,"李冀苑"
"352",352,"李懿"
"353",353,"杜力"
"354",354,"杜偉誠"
"355",355,"杜凱)"
"356",356,"杜詩梅"
"357",357,"沈世朋"
"358",358,"沈玉琳"
"359",359,"沈玉琳孔令奇"
"360",360,"沈孟勳"
"361",361,"沈建宏"
"362",362,"沈夢露"
"363",363,"玖壹壹"
"364",364,"玖壹壹曹西平"
"365",365,"秀蘭瑪雅"
"366",366,"芊予"
"367",367,"見證人"
"368",368,"貝可儀"
"369",369,"貝莉莓"
"370",370,"貝童彤"
"371",371,"辛曉琪"
"372",372,"辛龍"
"373",373,"那那大師"
"374",374,"亞倫"
"375",375,"佩佩"
"376",376,"侑庭"
"377",377,"依依"
"378",378,"兒童發展專家"
"379",379,"卓義<U+5CEF>"
"380",380,"卓義峰"
"381",381,"周定緯"
"382",382,"周宜霈"
"383",383,"周潤德"
"384",384,"周曉涵"
"385",385,"奔奔小姐"
"386",386,"妮娜"
"387",387,"委託人"
"388",388,"宗憲隊"
"389",389,"宛宛兒"
"390",390,"宜真"
"391",391,"尚恩"
"392",392,"屈中恆"
"393",393,"怡苔"
"394",394,"怡菱綠茶"
"395",395,"拉拉"
"396",396,"拉達"
"397",397,"旺福江宏恩"
"398",398,"易芝貓"
"399",399,"昕昕"
"400",400,"東方"
"401",401,"東東"
"402",402,"林子森"
"403",403,"林可彤"
"404",404,"林吟蔚"
"405",405,"林志穎麥若愚<U+9854>佑庭"
"406",406,"林秀琴"
"407",407,"林佳儀"
"408",408,"林侃諭"
"409",409,"林宗興＆管罄"
"410",410,"林欣甫"
"411",411,"林芯儀"
"412",412,"林亭翰"
"413",413,"林俊銘"
"414",414,"林品希"
"415",415,"林姿佑"
"416",416,"林建銘"
"417",417,"林彥君"
"418",418,"林春福"
"419",419,"林柏叡"
"420",420,"林韋君"
"421",421,"林書嬅"
"422",422,"林喬安"
"423",423,"林舒語"
"424",424,"林進"
"425",425,"林隆璇"
"426",426,"林葉亭"
"427",427,"林鼎修"
"428",428,"林維哲"
"429",429,"林樂偉"
"430",430,"林鮭魚"
"431",431,"法愛"
"432",432,"泡菜妹"
"433",433,"波力士"
"434",434,"波波蓁"
"435",435,"泱泱"
"436",436,"炎亞綸"
"437",437,"直擊特派員"
"438",438,"芮德"
"439",439,"虎牙妹"
"440",440,"邰智源"
"441",441,"邰智源王中平"
"442",442,"邱勝翊綠茶"
"443",443,"邱靖貽"
"444",444,"邱鋒澤"
"445",445,"邵昕"
"446",446,"邵邵"
"447",447,"邵阿咩"
"448",448,"金秀麗"
"449",449,"金美滿"
"450",450,"阿B"
"451",451,"阿Ben"
"452",452,"阿Sa"
"453",453,"阿布"
"454",454,"阿沁Yumi"
"455",455,"阿秀"
"456",456,"阿虎"
"457",457,"阿達"
"458",458,"阿諾"
"459",459,"阿龍"
"460",460,"雨玄"
"461",461,"亭羽"
"462",462,"亭恩"
"463",463,"侯羽桑"
"464",464,"侯昌明"
"465",465,"保姆"
"466",466,"信子"
"467",467,"南拳媽媽"
"468",468,"咪咪"
"469",469,"咪咪媽"
"470",470,"品冠"
"471",471,"哈孝遠"
"472",472,"威廉"
"473",473,"娃娃"
"474",474,"建東"
"475",475,"思思"
"476",476,"思瑩"
"477",477,"恬恬"
"478",478,"恬雅"
"479",479,"施芊芸"
"480",480,"昶霏"
"481",481,"查克茲"
"482",482,"柯漢祥"
"483",483,"段旭明"
"484",484,"洪秀雯"
"485",485,"洪翊騰"
"486",486,"洪都拉斯"
"487",487,"洪敬堯"
"488",488,"洪敬堯斯亞"
"489",489,"洪萬庭"
"490",490,"派翠夏"
"491",491,"珍珠"
"492",492,"祈錦鈅"
"493",493,"紅"
"494",494,"紅隊"
"495",495,"美味拍手"
"496",496,"美美"
"497",497,"美食專家"
"498",498,"胡天蘭安妮"
"499",499,"若凡"
"500",500,"苦苓"
"501",501,"范美拉"
"502",502,"范峻銘"
"503",503,"范揚景"
"504",504,"韋綸)"
"505",505,"飛口"
"506",506,"飛飛"
"507",507,"香蕉"
"508",508,"修分靈"
"509",509,"原告"
"510",510,"員工"
"511",511,"唐仲<U+5F63>"
"512",512,"唐從聖"
"513",513,"唐從聖山豬"
"514",514,"唐從聖李崗霖"
"515",515,"唐婷婷"
"516",516,"夏宇童"
"517",517,"夏和熙"
"518",518,"夏曼亞昂努"
"519",519,"夏臨威"
"520",520,"孫生"
"521",521,"孫生)趙正平"
"522",522,"孫伯綸"
"523",523,"孫沁岳"
"524",524,"孫其君"
"525",525,"孫協志"
"526",526,"孫翠鳳"
"527",527,"徐小可"
"528",528,"徐文良"
"529",529,"徐凱希"
"530",530,"徐瑋吟"
"531",531,"徐詣帆"
"532",532,"徐懷鈺"
"533",533,"恐龍"
"534",534,"泰坦"
"535",535,"浪LIVE主播(愷弟"
"536",536,"海產"
"537",537,"海寧"
"538",538,"烏來嬤"
"539",539,"班班"
"540",540,"神秘嘉賓"
"541",541,"笑笑"
"542",542,"罡愷"
"543",543,"翁立友"
"544",544,"臭屁嬰仔"
"545",545,"茵茵"
"546",546,"草屯囝仔"
"547",547,"荒漠甘泉"
"548",548,"荒漠甘泉(卡龍"
"549",549,"袁小迪"
"550",550,"袁永興方泂鑌"
"551",551,"馬丁"
"552",552,"馬仕釗"
"553",553,"馬幼興"
"554",554,"馬西屏"
"555",555,"馬國賢"
"556",556,"高山峰"
"557",557,"高以馨"
"558",558,"高以馨于立成"
"559",559,"高志宏"
"560",560,"高嘎"
"561",561,"高慧君"
"562",562,"高蕾雅"
"563",563,"偉凡"
"564",564,"偉晉"
"565",565,"國賢媽"
"566",566,"婁峻碩"
"567",567,"婆婆"
"568",568,"巢巢"
"569",569,"康明思"
"570",570,"康茵茵"
"571",571,"康康"
"572",572,"康康林芯儀"
"573",573,"康禎庭"
"574",574,"張三李四"
"575",575,"張友驊"
"576",576,"張心傑"
"577",577,"張可昀"
"578",578,"張可昀呂文婉"
"579",579,"張立東"
"580",580,"張名儀"
"581",581,"張克帆"
"582",582,"張秀卿"
"583",583,"張芯瑜呂文婉"
"584",584,"張信哲曾昱嘉"
"585",585,"張革玉勍"
"586",586,"張香香"
"587",587,"張修維"
"588",588,"張家舜"
"589",589,"張庭瑚"
"590",590,"張振榕"
"591",591,"張書書"
"592",592,"張軒睿"
"593",593,"張珺婷"
"594",594,"張惠聊"
"595",595,"張棋惠"
"596",596,"張逸謙"
"597",597,"張雁名"
"598",598,"張語噥"
"599",599,"張齡予"
"600",600,"強尼"
"601",601,"惟毅"
"602",602,"控制狂"
"603",603,"控訴人"
"604",604,"敖犬李依瑾<U+FEFF>"
"605",605,"晨心"
"606",606,"曹西平"
"607",607,"曼達"
"608",608,"梁一貞"
"609",609,"梁以辰"
"610",610,"梁正群"
"611",611,"梁依霏"
"612",612,"梁凱莉"
"613",613,"梁赫群"
"614",614,"爽樂團"
"615",615,"爽樂團(紅中"
"616",616,"畢書盡小鍾"
"617",617,"畢諾煦"
"618",618,"異鄉人"
"619",619,"符瓊音"
"620",620,"莊昱凡"
"621",621,"莊振凱"
"622",622,"蚯蚓"
"623",623,"蛋捲"
"624",624,"被告"
"625",625,"被害人"
"626",626,"被控訴人"
"627",627,"許力文"
"628",628,"許小飛"
"629",629,"許仁傑"
"630",630,"許含光"
"631",631,"許飛飛"
"632",632,"許書豪"
"633",633,"許凱皓"
"634",634,"許維芳"
"635",635,"連天豪"
"636",636,"郭子"
"637",637,"郭志翔"
"638",638,"郭芊吟"
"639",639,"郭彥均"
"640",640,"郭彥甫"
"641",641,"郭泰王"
"642",642,"郭常喜"
"643",643,"郭曉曉"
"644",644,"郭耀仁吳申梅"
"645",645,"郭鑫"
"646",646,"郭鑫潘映竹"
"647",647,"陳乃榮林凡"
"648",648,"陳大天"
"649",649,"陳予新"
"650",650,"陳央"
"651",651,"陳立芹"
"652",652,"陳宇風"
"653",653,"陳宇馨"
"654",654,"陳安"
"655",655,"陳艾熙"
"656",656,"陳志軒"
"657",657,"陳孟潔"
"658",658,"陳欣<U+6588>"
"659",659,"陳奕"
"660",660,"陳彥名"
"661",661,"陳彥宇"
"662",662,"陳彥碩"
"663",663,"陳彥碩沈玉琳"
"664",664,"陳政文"
"665",665,"陳映竹"
"666",666,"陳昭賢"
"667",667,"陳柔伊"
"668",668,"陳為民"
"669",669,"陳致遠"
"670",670,"陳若穎"
"671",671,"陳斌魁"
"672",672,"陳琳"
"673",673,"陳零九"
"674",674,"陳綠"
"675",675,"陳肇天"
"676",676,"陳櫻文"
"677",677,"陸董"
"678",678,"陸嘉偉"
"679",679,"陸總"
"680",680,"魚乾"
"681",681,"麻吉弟弟"
"682",682,"凱莉"
"683",683,"博恩"
"684",684,"博焱"
"685",685,"喬老師"
"686",686,"喬瑟夫"
"687",687,"婷婷"
"688",688,"彭華幹"
"689",689,"惡魔"
"690",690,"斑比"
"691",691,"斯亞"
"692",692,"普妹"
"693",693,"晴晴"
"694",694,"曾子余"
"695",695,"曾治豪"
"696",696,"曾秉閎"
"697",697,"曾昱嘉"
"698",698,"曾理"
"699",699,"曾莞婷"
"700",700,"曾智希"
"701",701,"曾琴"
"702",702,"曾雅蘭"
"703",703,"曾雅蘭沈玉琳"
"704",704,"游政則"
"705",705,"無尊"
"706",706,"猶卡恩"
"707",707,"琪琪"
"708",708,"琳妲"
"709",709,"琳妲（Wackyboys 反骨男孩）"
"710",710,"發明者"
"711",711,"筌筌"
"712",712,"紫棋妹"
"713",713,"舒子晨"
"714",714,"萁萁"
"715",715,"萁媽"
"716",716,"視覺"
"717",717,"評審"
"718",718,"賀少俠"
"719",719,"逸祥"
"720",720,"開水小姐"
"721",721,"陽詠存"
"722",722,"雅雅"
"723",723,"雲中嶽"
"724",724,"馮羿"
"725",725,"黃小柔"
"726",726,"黃小愛"
"727",727,"黃少谷"
"728",728,"黃妃"
"729",729,"黃沐妍"
"730",730,"黃尚禾黃鐙輝"
"731",731,"黃怡華"
"732",732,"黃昕羽"
"733",733,"黃俊澤"
"734",734,"黃品誠"
"735",735,"黃彥鈞"
"736",736,"黃昱翔"
"737",737,"黃昺翔"
"738",738,"黃若熙"
"739",739,"黃韋綸"
"740",740,"黃庭軒"
"741",741,"黃喬歆"
"742",742,"黃敬平"
"743",743,"黃煜晏"
"744",744,"黃聖文"
"745",745,"黃靖倫"
"746",746,"黃豪平"
"747",747,"黃豪平曾雅蘭"
"748",748,"黃燈輝"
"749",749,"黃築婷"
"750",750,"黃鴻升"
"751",751,"黃懷岫"
"752",752,"黃鐙輝"
"753",753,"黑傑克"
"754",754,"嗨獎"
"755",755,"圓圓"
"756",756,"圓圓媽"
"757",757,"塗善存陳予新"
"758",758,"媳婦"
"759",759,"廈雯"
"760",760,"愷樂嘻小瓜"
"761",761,"楊千玫"
"762",762,"楊大衛"
"763",763,"楊子儀"
"764",764,"楊元慶"
"765",765,"楊東霖"
"766",766,"楊晨熙"
"767",767,"楊皓如"
"768",768,"楊雅筑"
"769",769,"楊葦萱"
"770",770,"楊繡惠"
"771",771,"楊鎮"
"772",772,"楊懷民"
"773",773,"楊麗菁"
"774",774,"溫士凱"
"775",775,"溫妮"
"776",776,"溫嵐"
"777",777,"瑋哥"
"778",778,"瑜庭"
"779",779,"督們·達令"
"780",780,"筱蕾"
"781",781,"聖元"
"782",782,"萱野可芬"
"783",783,"萱野可芳"
"784",784,"葉子"
"785",785,"葉公曹西平"
"786",786,"葉欣"
"787",787,"葉秉桓"
"788",788,"葉綺"
"789",789,"董事長樂團"
"790",790,"解偉苓"
"791",791,"解偉苓丁曉雯"
"792",792,"解婕翎"
"793",793,"詹子晴"
"794",794,"詹子瑜"
"795",795,"詹少倫"
"796",796,"詹可旬"
"797",797,"詹惟中"
"798",798,"詹雅涵"
"799",799,"詹愷琪"
"800",800,"賈培德"
"801",801,"路雨希"
"802",802,"鄒兆龍"
"803",803,"靖雯"
"804",804,"頒獎嘉賓"
"805",805,"嘎嘎"
"806",806,"嘟嘟"
"807",807,"夢多"
"808",808,"夢夢"
"809",809,"寧寧"
"810",810,"廖主恆"
"811",811,"廖偉健"
"812",812,"廖慧珍"
"813",813,"漢典隊"
"814",814,"熊熊"
"815",815,"瑪莉亞"
"816",816,"瑪麗亞"
"817",817,"甄莉"
"818",818,"甄詒"
"819",819,"甄甄)"
"820",820,"管麟"
"821",821,"綠茶"
"822",822,"維軒"
"823",823,"舞炯恩"
"824",824,"裴頡"
"825",825,"製作人"
"826",826,"賓妹"
"827",827,"趙正平"
"828",828,"趙岱新"
"829",829,"鄞芽兒"
"830",830,"酷炫"
"831",831,"銘銘"
"832",832,"餅乾"
"833",833,"劉尚謙"
"834",834,"劉雨柔"
"835",835,"劉彥鋒"
"836",836,"劉虹翎"
"837",837,"劉書宏"
"838",838,"劉盛"
"839",839,"劉爾金"
"840",840,"嘻小瓜"
"841",841,"嬌嬌"
"842",842,"德瑞克"
"843",843,"撒基努"
"844",844,"樂事"
"845",845,"樂群"
"846",846,"歐弟"
"847",847,"歐美玲"
"848",848,"潘若迪"
"849",849,"潘瑋柏"
"850",850,"潘維亞"
"851",851,"潘慧如"
"852",852,"蔡允潔"
"853",853,"蔡允潔余皓然"
"854",854,"蔡志雄"
"855",855,"蔡志雄律師詹子晴"
"856",856,"蔡忻彤"
"857",857,"蔡秋鳳"
"858",858,"蔡恩雨"
"859",859,"蔡恩霖"
"860",860,"蔡黃汝"
"861",861,"蔡瑞容"
"862",862,"蔡頭"
"863",863,"蔣嘉文"
"864",864,"調查目標"
"865",865,"踢小米"
"866",866,"踢館魔主"
"867",867,"鄧廣福"
"868",868,"鄭楷丞"
"869",869,"餘明螢"
"870",870,"魯蛋"
"871",871,"憨憨"
"872",872,"戰嬿樂團(娃兒"
"873",873,"樺樺"
"874",874,"盧瑮莉"
"875",875,"盧蓁"
"876",876,"盧學叡"
"877",877,"蕙蕙"
"878",878,"蕭煌奇"
"879",879,"親親"
"880",880,"賴芊合"
"881",881,"賴東賢"
"882",882,"賴慈泓吳亦帆"
"883",883,"錦雯<U+FEFF>"
"884",884,"錦霞"
"885",885,"閻奕格"
"886",886,"龍千玉"
"887",887,"龍龍"
"888",888,"戴愛玲張秀卿"
"889",889,"戴裕霖"
"890",890,"檢場"
"891",891,"膽固醇妹"
"892",892,"蕾拉"
"893",893,"蕾蕾"
"894",894,"薛冰"
"895",895,"薯泥"
"896",896,"謝忻"
"897",897,"謝秉鈞"
"898",898,"謝哲青"
"899",899,"謝家璇"
"900",900,"謝雪兒"
"901",901,"鍾承翰"
"902",902,"鍾瑤"
"903",903,"鍾福元"
"904",904,"韓森"
"905",905,"韓靖"
"906",906,"瞿光復"
"907",907,"禮義)"
"908",908,"簡宏霖"
"909",909,"薩皿安"
"910",910,"藍"
"911",911,"藍隊"
"912",912,"藍燁"
"913",913,"醫師"
"914",914,"醫學講師"
"915",915,"雙ㄦ"
"916",916,"雙兒余祥銓"
"917",917,"雙胞媽"
"918",918,"顏<U+6D06>澔"
"919",919,"魏智偉"
"920",920,"魏嘉瑩"
"921",921,"魏蔓"
"922",922,"懷岫嬤"
"923",923,"羅伊"
"924",924,"羅美玲"
"925",925,"羅師傅"
"926",926,"羅時豐陳乃榮"
"927",927,"羅莉勤"
"928",928,"羅淼"
"929",929,"贊薇"
"930",930,"鯰魚"
"931",931,"鯰魚哥"
"932",932,"麗絲"
"933",933,"嚴之"
"934",934,"蘇一晉"
"935",935,"蘇瀅"
"936",936,"蘋果妹"
"937",937,"聽覺"
"938",938,"蘿莉塔"
